::ffff:127.0.0.1 - - [13/Jan/2020:16:08:12 +0000] "DELETE /api/v1/admin/users/15 HTTP/1.1" 500 198 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:23:12 +0000] "POST /api/v1/auth/registration HTTP/1.1" 200 166 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:29:12 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 404 164 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:29:18 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 404 164 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:29:52 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 500 85 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:30:41 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 401 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:32:41 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:33:19 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:33:52 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:34:20 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:37:17 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 200 26 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:38:37 +0000] "POST /api/v1/auth HTTP/1.1" 200 164 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:38:49 +0000] "DELETE /api/v1/admin/users/16 HTTP/1.1" 200 26 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:38:59 +0000] "POST /api/v1/auth/registration HTTP/1.1" 200 166 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:43:12 +0000] "GET /api/v1/auth/me HTTP/1.1" 403 161 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:43:40 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 129 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:45:46 +0000] "POST /api/v1/auth/resend_pin HTTP/1.1" 200 26 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:47:14 +0000] "POST /api/v1/auth/resend_pin HTTP/1.1" 200 26 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:48:40 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 400 70 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:48:49 +0000] "POST /api/v1/auth/validate_pin HTTP/1.1" 200 26 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:49:15 +0000] "GET /api/v1/auth/me HTTP/1.1" 200 483 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:49:25 +0000] "GET /api/v1/devices?page=1&limit=10&sort_dir=desc&sort=id HTTP/1.1" 200 6493 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:49:32 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 200 226 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:20:49:44 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 200 226 "-" "PostmanRuntime/7.21.0"
